featureId,pricingModel,billingUnit,currency,basePrice,unitPrice,costPrice,minimumCharge,maximumCharge,setupFee,billingCycle,taxInclusive,effectiveFrom,effectiveTo,isActive,metadata
0b5d422c-ae35-40e8-b560-6679814b8c10,USAGE_BASED,OTP,INR,0.0000,0.5000,0.2500,,,0.00,MONTHLY,false,2026-09-13T00:00:00+05:30,,true,"{""featureCode"":""MOBILE_LOGIN_OTP"",""featureName"":""OTP based Mobile Login"",""marketBasis"":""India 2026 market benchmark / EVs Eye recommended sell price"",""confidence"":""HIGH"",""source"":""https://msg91.com/in/pricing/otp"",""note"":""Per SMS OTP. Low-volume public benchmark is about ₹0.25/OTP; EVs Eye sell rate includes platform/support margin."",""gstNote"":""Prices exclusive of GST; taxInclusive=false.""}"
4d0b1b4a-021d-4e4d-8da8-de9aba86bb28,USAGE_BASED,OTP,INR,0.0000,0.1000,0.0300,,,0.00,MONTHLY,false,2026-09-13T00:00:00+05:30,,true,"{""featureCode"":""EMAIL_LOGIN_OTP"",""featureName"":""OTP based Email Login"",""marketBasis"":""India 2026 market benchmark / EVs Eye recommended sell price"",""confidence"":""HIGH"",""source"":""https://msg91.com/in/pricing/email"",""note"":""Per email OTP. Public benchmark ₹0.03/email OTP."",""gstNote"":""Prices exclusive of GST; taxInclusive=false.""}"
428ecb0d-ceb3-4448-a123-b265bab74338,USAGE_BASED,VERIFICATION,INR,0.0000,5.0000,2.0000,,,0.00,MONTHLY,false,2026-09-13T00:00:00+05:30,,true,"{""featureCode"":""AGE_VERIFICATION"",""featureName"":""Age Verification"",""marketBasis"":""India 2026 market benchmark / EVs Eye recommended sell price"",""confidence"":""MEDIUM"",""source"":""https://signcare.io/pricing"",""note"":""Digital age/DOB verification benchmarked to identity/KYC checks; exact provider source may differ."",""gstNote"":""Prices exclusive of GST; taxInclusive=false.""}"
33c9e190-1cbe-4efb-94a4-8538ed3e2c7f,FLAT_RATE,TENANT_MONTH,INR,50.0000,0.0000,3.0000,,,0.00,MONTHLY,false,2026-09-13T00:00:00+05:30,,true,"{""featureCode"":""AGE_PROOF_DOCUMENT"",""featureName"":""Age Proof Document Upload"",""marketBasis"":""India 2026 market benchmark / EVs Eye recommended sell price"",""confidence"":""MEDIUM"",""source"":null,""note"":""SaaS document-upload capability fee; storage/egress is negligible at pilot scale."",""gstNote"":""Prices exclusive of GST; taxInclusive=false.""}"
5b18b452-def8-4f61-b4a3-325f88eddc80,USAGE_BASED,VERIFICATION,INR,0.0000,49.0000,25.0000,,,0.00,MONTHLY,false,2026-09-13T00:00:00+05:30,,true,"{""featureCode"":""ADDRESS_VERIFICATION"",""featureName"":""Address Verification"",""marketBasis"":""India 2026 market benchmark / EVs Eye recommended sell price"",""confidence"":""MEDIUM"",""source"":""https://mploychek.com/background-verification-cost-india/"",""note"":""Assumes digital address validation, not physical field verification. Physical checks are much more expensive."",""gstNote"":""Prices exclusive of GST; taxInclusive=false.""}"
97f268a6-8370-4a2e-8b06-a8936ed0a067,FLAT_RATE,TENANT_MONTH,INR,50.0000,0.0000,3.0000,,,0.00,MONTHLY,false,2026-09-13T00:00:00+05:30,,true,"{""featureCode"":""ADDRESS_PROOF_DOCUMENT"",""featureName"":""Address Proof Document Upload"",""marketBasis"":""India 2026 market benchmark / EVs Eye recommended sell price"",""confidence"":""MEDIUM"",""source"":null,""note"":""SaaS document-upload capability fee."",""gstNote"":""Prices exclusive of GST; taxInclusive=false.""}"
04ea040e-5cac-4dd0-9be8-64832127492d,FLAT_RATE,TENANT_MONTH,INR,199.0000,0.0000,15.0000,,,0.00,MONTHLY,false,2026-09-13T00:00:00+05:30,,true,"{""featureCode"":""REFERRAL_BENEFIT"",""featureName"":""Referral benefit"",""marketBasis"":""India 2026 market benchmark / EVs Eye recommended sell price"",""confidence"":""MEDIUM"",""source"":null,""note"":""Feature enablement only. Referral payout itself should be funded by the client."",""gstNote"":""Prices exclusive of GST; taxInclusive=false.""}"
f8cdca99-29b0-4857-9b2a-1c7226712d8e,FLAT_RATE,TENANT_MONTH,INR,99.0000,0.0000,5.0000,,,0.00,MONTHLY,false,2026-09-13T00:00:00+05:30,,true,"{""featureCode"":""PROFILE_PHOTO"",""featureName"":""Profile Photo"",""marketBasis"":""India 2026 market benchmark / EVs Eye recommended sell price"",""confidence"":""MEDIUM"",""source"":null,""note"":""Photo capture/upload feature; normally bundled into a package."",""gstNote"":""Prices exclusive of GST; taxInclusive=false.""}"
c90d77af-bee1-4852-8458-3bfa7368cedb,USAGE_BASED,FACE_SCAN,INR,0.0000,8.0000,4.0000,,,0.00,MONTHLY,false,2026-09-13T00:00:00+05:30,,true,"{""featureCode"":""FACE_LIVENESS_CHECK"",""featureName"":""Face Liveness Check"",""marketBasis"":""India 2026 market benchmark / EVs Eye recommended sell price"",""confidence"":""HIGH"",""source"":""https://signcare.io/pricing"",""note"":""Published face liveness + geo benchmark ₹4/check; EVs Eye rate includes margin."",""gstNote"":""Prices exclusive of GST; taxInclusive=false.""}"
c82165ab-d183-4c1f-99a8-b7964cfb5068,USAGE_BASED,VERIFICATION,INR,0.0000,8.0000,3.5000,,,0.00,MONTHLY,false,2026-09-13T00:00:00+05:30,,true,"{""featureCode"":""AADHAR_VERIFICATION"",""featureName"":""Aadhar Verification"",""marketBasis"":""India 2026 market benchmark / EVs Eye recommended sell price"",""confidence"":""HIGH"",""source"":""https://signcare.io/pricing"",""note"":""Aadhaar verification market rates vary by method/provider. Benchmark uses published ₹3.50 API rate."",""gstNote"":""Prices exclusive of GST; taxInclusive=false.""}"
