id,categoryId,categoryCode,categoryName,code,name,subCategory,description,energyType,usageType,status,createdAt,updatedAt
2f5af34b-c0de-4cd1-a936-4a69d3681783,5f85b944-74fa-4ebf-8d65-d53789a8f011,2W,Two Wheeler,E_BICYCLE_ELECTRIC,Electric Bicycle,BICYCLE,Pedal-assisted or low-speed electric bicycle used for personal or delivery mobility.,ELECTRIC,DELIVERY,ACTIVE,2026-09-13 10:27:58.419,2026-09-14 05:55:00.293
e02b3338-a61a-47ad-8300-7f945cdebeab,5f85b944-74fa-4ebf-8d65-d53789a8f011,2W,Two Wheeler,MOPED_ELECTRIC,Moped,MOPED,Low-powered two-wheeler with moped-style construction.,ELECTRIC,PRIVATE,ACTIVE,2026-09-13 10:27:58.413,2026-09-14 05:55:00.292
9b58217f-8a80-46a2-abe7-6cd7d05e4f5e,5f85b944-74fa-4ebf-8d65-d53789a8f011,2W,Two Wheeler,MOPED_PETROL,Moped,MOPED,Low-powered two-wheeler with moped-style construction.,PETROL,PRIVATE,ACTIVE,2026-09-13 10:27:58.413,2026-09-14 05:55:00.295
578b1b64-900a-4c40-9d98-fe57c368e15f,5f85b944-74fa-4ebf-8d65-d53789a8f011,2W,Two Wheeler,MOTORCYCLE_CNG,Motorcycle,MOTORCYCLE,"Two-wheeled motor vehicle including commuter, street and touring motorcycles.",CNG,PRIVATE,ACTIVE,2026-09-13 10:27:58.423,2026-09-14 05:55:00.288
a9cd175f-da6e-4666-a985-3b8e44e1bc01,5f85b944-74fa-4ebf-8d65-d53789a8f011,2W,Two Wheeler,MOTORCYCLE_ELECTRIC,Motorcycle,MOTORCYCLE,"Two-wheeled motor vehicle including commuter, street and touring motorcycles.",ELECTRIC,PRIVATE,ACTIVE,2026-09-13 10:27:58.417,2026-09-14 05:55:00.29
d6e9be3a-9fe0-404a-a598-cd5dd71aeb25,5f85b944-74fa-4ebf-8d65-d53789a8f011,2W,Two Wheeler,MOTORCYCLE_FOR_HIRE_ELECTRIC,Motorcycle for Hire,COMMERCIAL_2W,Motorcycle or scooter used commercially for hire or shared mobility.,ELECTRIC,SHARED_MOBILITY,ACTIVE,2026-09-13 10:27:58.615,2026-09-14 05:55:00.408
a2651b35-6bd6-4998-af6d-1cb6a520f494,5f85b944-74fa-4ebf-8d65-d53789a8f011,2W,Two Wheeler,MOTORCYCLE_FOR_HIRE_PETROL,Motorcycle for Hire,COMMERCIAL_2W,Motorcycle or scooter used commercially for hire or shared mobility.,PETROL,SHARED_MOBILITY,ACTIVE,2026-09-13 10:27:58.592,2026-09-14 05:55:00.399
2652f863-b4ec-418d-9b53-507dd9dcdbd6,5f85b944-74fa-4ebf-8d65-d53789a8f011,2W,Two Wheeler,MOTORCYCLE_PETROL,Motorcycle,MOTORCYCLE,"Two-wheeled motor vehicle including commuter, street and touring motorcycles.",PETROL,PRIVATE,ACTIVE,2026-09-13 10:27:58.418,2026-09-14 05:55:00.292
5a791d14-ab7f-4eee-9231-d880d230071d,5f85b944-74fa-4ebf-8d65-d53789a8f011,2W,Two Wheeler,MOTORCYCLE_SIDE_CAR_ELECTRIC,Motorcycle with Side Car,SIDE_CAR,Motorcycle or scooter fitted with a side car.,ELECTRIC,PRIVATE,ACTIVE,2026-09-13 10:27:58.416,2026-09-14 05:55:00.293
b28de008-6362-430b-8ad9-b817a0b41f11,5f85b944-74fa-4ebf-8d65-d53789a8f011,2W,Two Wheeler,MOTORCYCLE_SIDE_CAR_PETROL,Motorcycle with Side Car,SIDE_CAR,Motorcycle or scooter fitted with a side car.,PETROL,PRIVATE,ACTIVE,2026-09-13 10:27:58.42,2026-09-14 05:55:00.29
b021a814-82d5-405e-a0b4-5c1d705b4318,5f85b944-74fa-4ebf-8d65-d53789a8f011,2W,Two Wheeler,MOTORCYCLE_TRAILER_ELECTRIC,Motorcycle with Trailer,TRAILER_ATTACHED,Motorcycle or scooter configured to tow a small trailer.,ELECTRIC,GOODS,ACTIVE,2026-09-13 10:27:58.582,2026-09-14 05:55:00.392
25b78cac-0d94-4feb-8b40-e9f5e3fddaff,5f85b944-74fa-4ebf-8d65-d53789a8f011,2W,Two Wheeler,MOTORCYCLE_TRAILER_PETROL,Motorcycle with Trailer,TRAILER_ATTACHED,Motorcycle or scooter configured to tow a small trailer.,PETROL,GOODS,ACTIVE,2026-09-13 10:27:58.496,2026-09-14 05:55:00.344
8a43aab2-5260-45dd-b3cb-725f3a0c1e04,5f85b944-74fa-4ebf-8d65-d53789a8f011,2W,Two Wheeler,MOTORISED_CYCLE_ELECTRIC,Motorised Cycle,MOTORISED_CYCLE,Low-capacity motorised cycle including legacy low-cc classifications.,ELECTRIC,PRIVATE,ACTIVE,2026-09-13 10:27:58.413,2026-09-14 05:55:00.296
2b7c615b-a265-457f-8b46-c5d77aee56d0,5f85b944-74fa-4ebf-8d65-d53789a8f011,2W,Two Wheeler,MOTORISED_CYCLE_PETROL,Motorised Cycle,MOTORISED_CYCLE,Low-capacity motorised cycle including legacy low-cc classifications.,PETROL,PRIVATE,ACTIVE,2026-09-13 10:27:58.416,2026-09-14 05:55:00.295
5d0a771a-eb88-4ea0-81d7-e8df79c92b0a,5f85b944-74fa-4ebf-8d65-d53789a8f011,2W,Two Wheeler,SCOOTER_ELECTRIC,Scooter,SCOOTER,Step-through two-wheeler used for personal and urban mobility.,ELECTRIC,PRIVATE,ACTIVE,2026-09-13 10:27:58.411,2026-09-14 05:55:00.289
cbef2e39-4829-4af4-b8b1-77ff651812f0,5f85b944-74fa-4ebf-8d65-d53789a8f011,2W,Two Wheeler,SCOOTER_PETROL,Scooter,SCOOTER,Step-through two-wheeler used for personal and urban mobility.,PETROL,PRIVATE,ACTIVE,2026-09-13 10:27:58.414,2026-09-14 05:55:00.29
2be665e7-71fb-4f10-b9cc-24b2198af9a5,44dc50b4-ebac-4690-acde-21cc11e76f4e,3W,Three Wheeler,AUTO_RICKSHAW_CNG,Auto Rickshaw,PASSENGER_3W,Three-wheeled passenger auto-rickshaw used for commercial passenger transport.,CNG,PASSENGER,ACTIVE,2026-09-13 10:27:58.628,2026-09-14 05:55:00.417
4cd3aa61-ff3d-49e0-8506-5aa66bd0d21a,44dc50b4-ebac-4690-acde-21cc11e76f4e,3W,Three Wheeler,AUTO_RICKSHAW_DIESEL,Auto Rickshaw,PASSENGER_3W,Three-wheeled passenger auto-rickshaw used for commercial passenger transport.,DIESEL,PASSENGER,ACTIVE,2026-09-13 10:27:58.671,2026-09-14 05:55:00.434
