id,code,name,displayName,status,logoUrl,logoObjectKey,website,description,createdAt,updatedAt
8bf12df8-fe17-4037-9797-f6b90319f309,ALTIGREEN,Altigreen Propulsion Labs Private Limited,Altigreen,ACTIVE,https://www.google.com/s2/favicons?domain=altigreen.com&sz=256,,https://altigreen.com,Electric cargo three-wheelers.,2026-09-13 10:27:57.958,2026-09-14 05:55:00.015
8d37cc61-ea23-4edc-bbb8-97dbffb0d4be,AMO,AMO Mobility Solutions Private Limited,AMO Mobility,ACTIVE,https://www.google.com/s2/favicons?domain=amomobility.com&sz=256,,https://amomobility.com,Electric scooters.,2026-09-13 10:27:57.921,2026-09-14 05:54:59.991
f7b68b14-7f28-4298-8395-ede80e43e46c,AMPERE,Greaves Electric Mobility Private Limited,Ampere,ACTIVE,https://www.google.com/s2/favicons?domain=ampere.greaveselectricmobility.com&sz=256,,https://www.ampere.greaveselectricmobility.com,Electric scooters under the Ampere brand.,2026-09-13 10:27:57.917,2026-09-14 05:54:59.979
49353004-0020-4c71-abea-6d9e8e830f62,ASHOK_LEYLAND,Ashok Leyland Limited,Ashok Leyland,ACTIVE,https://www.google.com/s2/favicons?domain=ashokleyland.com&sz=256,,https://ashokleyland.com,"Commercial-vehicle OEM with electric mobility products through the group ecosystem, including Switch Mobility.",2026-09-13 10:27:57.97,2026-09-14 05:55:00.017
f076949b-55e8-4074-9bec-8ad51be48e5b,ATHER,Ather Energy Limited,Ather Energy,ACTIVE,https://www.google.com/s2/favicons?domain=atherenergy.com&sz=256,,https://www.atherenergy.com,Electric scooters and connected mobility.,2026-09-13 10:27:57.911,2026-09-14 05:54:59.978
57bcec97-150b-48e4-b6a6-7a9390e70897,ATUL,Atul Auto Limited,Atul Auto,ACTIVE,https://www.google.com/s2/favicons?domain=atulauto.co.in&sz=256,,https://atulauto.co.in,Electric passenger and cargo three-wheelers.,2026-09-13 10:27:57.96,2026-09-14 05:55:00.028
b830be0f-0ddf-45c9-91ab-6f3033f6cf12,AUDI,Audi India,Audi,ACTIVE,https://www.google.com/s2/favicons?domain=audi.in&sz=256,,https://www.audi.in,Luxury electric passenger cars.,2026-09-13 10:27:57.991,2026-09-14 05:55:00.025
c218f595-fba5-49f3-812a-2f5dcebed0ef,AVAN,Avan Motors India Private Limited,Avan Motors,ACTIVE,https://www.google.com/s2/favicons?domain=avanmotors.com&sz=256,,https://avanmotors.com,Electric scooters.,2026-09-13 10:27:57.948,2026-09-14 05:55:00.008
789a9ed9-3ff6-4dbf-9c62-7a60032e8d45,AVON,Avon Cycles Limited,Avon E-Bikes,ACTIVE,https://www.google.com/s2/favicons?domain=avoncycles.com&sz=256,,https://avoncycles.com,Electric bicycles and low-speed electric mobility products.,2026-09-13 10:27:57.952,2026-09-14 05:55:00.006
956e8cf4-b241-4ac3-b6c5-9c62b87a4447,BAJAJ,Bajaj Auto Limited,Bajaj Auto,ACTIVE,https://www.google.com/s2/favicons?domain=bajajauto.com&sz=256,,https://www.bajajauto.com,Chetak electric scooters and electric three-wheelers.,2026-09-13 10:27:57.915,2026-09-14 05:54:59.978
6adbd10a-18e6-454d-af40-c3835599a69e,BATTRE,BattRE Electric Mobility Private Limited,Batt:RE,ACTIVE,https://www.google.com/s2/favicons?domain=battre.in&sz=256,,https://battre.in,Electric scooters including Storie and LOEV models.,2026-09-13 10:27:57.995,2026-09-14 05:55:00.029
9c451065-f21b-4eca-b268-6b21ffe889e9,BAXY,Baxy Mobility Private Limited,Baxy Mobility,ACTIVE,https://www.google.com/s2/favicons?domain=baxymobility.com&sz=256,,https://baxymobility.com,Electric passenger three-wheelers.,2026-09-13 10:27:57.961,2026-09-14 05:55:00.013
592a2e9f-4d24-47a3-935b-7f9014b7d285,BENLING,Benling India Energy and Technology Private Limited,Benling,ACTIVE,https://www.google.com/s2/favicons?domain=benlingindia.com&sz=256,,https://benlingindia.com,Electric scooters.,2026-09-13 10:27:57.961,2026-09-14 05:54:59.999
6e2b5b27-c74e-4daa-9d85-ef30aad1c820,BGAUSS,Dilli Electric Auto Private Limited,BGAUSS,ACTIVE,https://www.google.com/s2/favicons?domain=bgauss.com&sz=256,,https://bgauss.com,Electric scooters under the BGauss brand.,2026-09-13 10:27:57.923,2026-09-14 05:54:59.986
0a0e25e4-b87a-4082-a170-53cca2e308f5,BMW,BMW India Private Limited,BMW,ACTIVE,https://www.google.com/s2/favicons?domain=bmw.in&sz=256,,https://www.bmw.in,Luxury electric passenger cars.,2026-09-13 10:27:57.99,2026-09-14 05:55:00.022
1f45bec2-b888-47d1-a42e-efce10653283,BNC,BNC Motors Private Limited,BNC Motors,ACTIVE,https://www.google.com/s2/favicons?domain=bncmotors.in&sz=256,,https://www.bncmotors.in,Electric motorcycles and scooters.,2026-09-13 10:27:57.956,2026-09-14 05:54:59.994
266e4ee3-c68f-412f-a9e5-ad6a7087a60e,BOUNCE,Bounce Infinity E-Mobility Private Limited,Bounce Infinity,ACTIVE,https://www.google.com/s2/favicons?domain=bounceinfinity.com&sz=256,,https://bounceinfinity.com,Electric scooters and battery-swapping mobility.,2026-09-13 10:27:57.946,2026-09-14 05:55:00.006
68539795-1d16-463d-956e-ec00ea814ae4,BYD,BYD India Private Limited,BYD,ACTIVE,https://www.google.com/s2/favicons?domain=byd.com&sz=256,,https://www.byd.com/in,Electric passenger cars and buses.,2026-09-13 10:27:57.982,2026-09-14 05:55:00.017
68998d91-ce7e-418c-956c-d7687c652adb,CITROEN,Stellantis India Automobiles Private Limited,Citroen,ACTIVE,https://www.google.com/s2/favicons?domain=citroen.in&sz=256,,https://www.citroen.in,Electric passenger cars.,2026-09-13 10:27:57.984,2026-09-14 05:55:00.018
ab6b602d-1c8e-4bc9-88c6-90744eab9d52,DELTIC,Delta Autocorp Limited,Deltic,ACTIVE,https://www.google.com/s2/favicons?domain=deltic.co&sz=256,,https://deltic.co,"Electric scooters, e-rickshaws and electric cargo three-wheelers.",2026-09-13 10:27:57.999,2026-09-14 05:55:00.028
229d7a7a-3596-4808-b15d-63bf9a157c4e,EEVE,EeVe India Private Limited,EeVe,ACTIVE,https://www.google.com/s2/favicons?domain=eeveindia.in&sz=256,,https://eeveindia.in,Electric scooters.,2026-09-13 10:27:57.972,2026-09-14 05:54:59.998
92e12a66-72d2-4d43-914e-1dfea1266e66,EICHER,VE Commercial Vehicles Limited,Eicher Trucks & Buses,ACTIVE,https://www.google.com/s2/favicons?domain=eichertrucksandbuses.com&sz=256,,https://www.eichertrucksandbuses.com,Electric small commercial vehicles including the Eicher Pro X electric range.,2026-09-13 10:27:58,2026-09-14 05:55:00.028
76c44b03-8c87-416c-b18e-124e825d9672,EKA,Pinnacle Mobility Solutions Private Limited,EKA Mobility,ACTIVE,https://www.google.com/s2/favicons?domain=ekamobility.com&sz=256,,https://ekamobility.com,"Pure-electric commercial vehicles including three-wheelers, SCVs, trucks and buses.",2026-09-13 10:27:58.002,2026-09-14 05:55:00.027
deda4d51-9e34-45bb-8f08-ed3879bb361f,ELECTRIE_ONE,Electrie-One Auto Private Limited,Electrie One,ACTIVE,https://www.google.com/s2/favicons?domain=electrie.in&sz=256,,https://www.electrie.in,"Electric mobility company with two-wheelers, cargo/passenger vehicles and institutional electric vehicles.",2026-09-13 10:27:57.962,2026-09-14 05:55:00.03
3e749f48-b34a-4d18-b3a2-6a561c91f598,EMOTORAD,EMotorad,EMotorad,ACTIVE,https://www.google.com/s2/favicons?domain=emotorad.com&sz=256,,https://emotorad.com,Electric bicycles.,2026-09-13 10:27:57.954,2026-09-14 05:55:00.008
e3924fc0-e43a-42bb-a2e5-13eb0eee8f0e,ENIGMA,Enigma Automobiles Private Limited,Enigma,ACTIVE,https://www.google.com/s2/favicons?domain=enigmaev.com&sz=256,,https://enigmaev.com,Electric scooters.,2026-09-13 10:27:57.952,2026-09-14 05:55:00.012
087f77ee-7924-4cd5-bf8c-ce593db2b9fe,ERISHA,Erisha E Mobility Private Limited,Erisha E Mobility,ACTIVE,https://www.google.com/s2/favicons?domain=erishaev.com&sz=256,,https://erishaev.com,"Electric three-wheelers, commercial vehicles and buses.",2026-09-13 10:27:57.964,2026-09-14 05:55:00.028
6c12d9c6-a1e8-44a6-ae38-4bc5b385aeb4,ESPRINTO,e-Sprinto,e-Sprinto,ACTIVE,https://www.google.com/s2/favicons?domain=esprinto.in&sz=256,,https://www.esprinto.in,Indian electric scooter brand offering high-speed and low-speed electric scooters.,2026-09-13 10:27:58.009,2026-09-14 05:55:00.029
f29656bd-8b43-4e6b-8432-9ff7022b84a8,ETO,ETO Motors Private Limited,ETO Motors,ACTIVE,https://www.google.com/s2/favicons?domain=etomotors.com&sz=256,,https://etomotors.com,Electric three-wheelers and electric-mobility fleet solutions.,2026-09-13 10:27:57.96,2026-09-14 05:55:00.016
a1701ad9-8299-4fd5-9c37-89e772a7ece3,EULER,Euler Motors Private Limited,Euler Motors,ACTIVE,https://www.google.com/s2/favicons?domain=eulermotors.com&sz=256,,https://eulermotors.com,Electric cargo three-wheelers and commercial vehicles.,2026-09-13 10:27:57.975,2026-09-14 05:55:00.013
131de1c7-d00f-486f-811f-2ae5adf76c3c,EVAGE,EVage Motors Private Limited,EVage Motors,ACTIVE,https://www.google.com/s2/favicons?domain=evagemotors.com&sz=256,,https://evagemotors.com,Electric delivery vans and commercial vehicles.,2026-09-13 10:27:57.968,2026-09-14 05:55:00.017
3002c7ee-b99d-4385-be77-f36521ab20c4,EVSEYE,EVs Eye Mobility Systems,EVs Eye,ACTIVE,,,,Platform sample OEM record.,2026-09-13 10:27:57.884,2026-09-14 05:54:59.96
fb8d770d-6fc9-452d-bda0-026e094d68cf,E_TRIO,Etrio Automobiles Private Limited,Etrio,ACTIVE,https://www.google.com/s2/favicons?domain=etrio.in&sz=256,,https://etrio.in,Electric cargo three-wheelers and light commercial vehicles for logistics fleets.,2026-09-13 10:27:57.963,2026-09-14 05:55:00.014
7760d87b-0458-45fe-9ad5-ecb34c79e364,FLYING_FLEA,Eicher Motors Limited,Flying Flea,ACTIVE,https://www.google.com/s2/favicons?domain=flyingflea.royalenfield.com&sz=256,,https://flyingflea.royalenfield.com/in/en,Royal Enfield group electric motorcycle brand; Flying Flea C6 launched in India in 2026.,2026-09-13 10:27:58.011,2026-09-14 05:55:00.03
d7440e31-130e-41f0-9e71-afb33c619230,FORCE,Force Motors Limited,Force Motors,ACTIVE,https://www.google.com/s2/favicons?domain=forcemotors.com&sz=256,,https://www.forcemotors.com,Electric shared-mobility and passenger commercial vehicles including e-Traveller/Smart Citibus EV derivatives.,2026-09-13 10:27:58.005,2026-09-14 05:55:00.029
bdfe98fa-7857-4f1e-b99e-76fd252628d9,GEMOPAI,Goreen E-Mobility Private Limited,Gemopai,ACTIVE,https://www.google.com/s2/favicons?domain=gemopai.com&sz=256,,https://www.gemopai.com,Electric scooters including Astrid Lite and Ryder models.,2026-09-13 10:27:57.994,2026-09-14 05:55:00.027
